Действующий;Тип;Название;Город;Индекс;"Индекс RU";"Код страны";Страна;КТА;Превышение;Принадлежность;Международный;Email;Web-сайт;Примечание
Недействующий;Вертодром;"217 Куст";;HC2U;ХЦ2У;UU-RUSSIA;Россия;"N66.87703° E079.57328°";37;;;;;
Действующий;Вертодром;"228-й км";;HER6;ХЕР6;UU-RUSSIA;Россия;"N66.01187° E082.19193°";48;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"232-й км";;H697;Х697;UU-RUSSIA;Россия;"N63.17280° E059.96692°";124;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"25-й км";;HBA9;ХБА9;UU-RUSSIA;Россия;"N62.60948° E064.12828°";46;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"253-й км";;HER7;ХЕР7;UU-RUSSIA;Россия;"N65.86882° E081.82805°";50;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"26-й км";Чита;HB6F;ХБ6Ф;UU-RUSSIA;Россия;"N51.89228° E113.75390°";689;МО;;;;Горный.
Действующий;Вертодром;"267-й км";;HD8A;ХД8А;UU-RUSSIA;Россия;"N68.48672° E069.52172°";22;ГА;;;;"Владелец ПП: нет данных."
Действующий;Вертодром;"271-й км";;HER8;ХЕР8;UU-RUSSIA;Россия;"N65.78730° E081.49488°";42;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"282-й км МНП";;HEC5;ХЕЦ5;UU-RUSSIA;Россия;"N64.57515° E055.50658°";136;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"292-й км МНП";;UNSD;УНСД;UU-RUSSIA;Россия;"N58.29402° E079.85583°";120;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"293 км";;HDA0;ХДА0;UU-RUSSIA;Россия;"N64.31138° E055.06112°";150;ГА;;;;
Действующий;Вертодром;"297-й км";;HER9;ХЕР9;UU-RUSSIA;Россия;"N65.61667° E081.14388°";70;ГА;;;;"Оператор: нет данных."
Недействующий;Вертодром;"3 Корейка";;HE9K;ХЕ9К;UR-RUSS/KZKST;Казахстан;"N45.77273° E063.21105°";101;МО;;;;
Действующий;Вертодром;"3-е отделение";Ухта;UUHT;УУХТ;UU-RUSSIA;Россия;"N63.60595° E053.70675°";144;ГА;;;;"Оператор: База Производственного Технологического Оборудования и Комплектации (БПТО и К) ОАО ""Северные МН""."
Действующий;Вертодром;"3-я Болотная";;HB6G;ХБ6Г;UU-RUSSIA;Россия;"N57.10940° E079.52680°";134;ГА;;;;
Действующий;Вертодром;"300 км ВСТО";;HE5Q;ХЕ5Я;UU-RUSSIA;Россия;"N56.52565° E101.79193°";325;ГА;;;;Горный.
Действующий;Вертодром;"301 Шингинская";;UNSI;УНСИ;UU-RUSSIA;Россия;"N58.32050° E078.48767°";102;ГА;;;;"Томская область. Россия. 14/R/B/W/U."
Действующий;Вертодром;"32-й км";;HB49;ХБ49;UU-RUSSIA;Россия;"N62.84358° E063.75380°";78;ГА;;;;
Действующий;Вертодром;"331 км";;HBC8;ХБЦ8;UU-RUSSIA;Россия;"N64.07002° E067.49725°";101;ГА;;;;
Действующий;Вертодром;"34 Бригада СС";;HCN3;ХЦН3;UU-RUSSIA;Россия;"N43.07247° E131.91977°";9;ГА;;;;"Оператор: нет данных. Маркирован белой краской."
Действующий;Вертодром;"35 км";;HB6I;ХБ6И;UU-RUSSIA;Россия;"N60.61358° E077.40993°";38;ГА;;;;
Действующий;Вертодром;"35 км";;UOOT;УООТ;UU-RUSSIA;Россия;"N69.19000° E083.27833°";21;ГА;;;;"Красноярский Край, Россия."
Действующий;Вертодром;"35 км МКАД";;UUUY;УУУЫ;UU-RUSSIA;Россия;"N55.58178° E037.57285°";185;МЧС;;;;"Оператор: ГКУ ""МАЦ"". Внутри автотранспортной развязки 35-го км МКАД. Отворот на Южное Бутово."
Действующий;Вертодром;"358-й км";;HBC9;ХБЦ9;UU-RUSSIA;Россия;"N63.91433° E067.09408°";95;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"358-й км СГП";;HDY4;ХДЫ4;UU-RUSSIA;Россия;"N59.62795° E069.15417°";39;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"392 Майская";;UNSM;УНСМ;UU-RUSSIA;Россия;"N57.76000° E077.38667°";128;ГА;;;;"Томская область. Россия."
Действующий;Вертодром;"395 Майская";;UNSQ;УНСЯ;UU-RUSSIA;Россия;"N57.77833° E077.36667°";134;ГА;;;;"Томская область. Россия."
Действующий;Вертодром;"4 Южное Хыльчую";;ZD23;ЗД23;UU-RUSSIA;Россия;"N68.16080° E055.40088°";45;ГА;;;;
Действующий;Вертодром;"4-й УЦ ВВ МВД";;HGS9;ХГС9;UU-RUSSIA;Россия;"N59.85612° E029.74947°";74;МВД;;;;"Оператор; 4-й Учебный центр ВВ МВД России."
Действующий;Вертодром;"4-я Болотная";;HEP0;ХЕП0;UU-RUSSIA;Россия;"N57.08925° E079.56193°";146;ГА;;;;
Действующий;Вертодром;"407 км (дальний берег)";;HC3H;ХЦ3Х;UU-RUSSIA;Россия;"N63.65695° E053.85612°";98;АОН;;;;"407 км нефтепровода Уса - Ухта"
Действующий;Вертодром;"408 км (ближний берег)";;HC3G;ХЦ3Г;UU-RUSSIA;Россия;"N63.64855° E053.84983°";76;АОН;;;;"408 км нефтепровода Усинск-Ухта."
Действующий;Вертодром;"41-й км";;HBA7;ХБА7;UU-RUSSIA;Россия;"N62.55137° E063.86633°";39;ГА;;;;
Действующий;Вертодром;"425-й км";;HBD1;ХБД1;UU-RUSSIA;Россия;"N63.43088° E066.45115°";136;ГА;;;;
Действующий;Вертодром;"425-я батарея";;HH19;ХХ19;UU-RUSSIA;Россия;"N52.94022° E158.76398°";130;МО;;;;"Оператор: нет данных."
Действующий;Вертодром;"43-й км МНП";;UUHS;УУХС;UU-RUSSIA;Россия;"N65.47715° E058.11132°";91;ГА;;;;
Действующий;Вертодром;"432 км СГП";;HDY5;ХДЫ5;UU-RUSSIA;Россия;"N59.57082° E069.14100°";38;ГА;;;;
Действующий;Вертодром;"432-й км СГП";;HF94;ХФ94;UU-RUSSIA;Россия;"N59.57168° E068.14515°";48;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"44-я Арчинская";;HB6J;ХБ6Й;UU-RUSSIA;Россия;"N57.46273° E078.43403°";128;ГА;;;;"Оператор: нет данных. Подходы открытые."
Действующий;Вертодром;"444 км Убкуа";;HD7Y;ХД7Ы;UU-RUSSIA;Россия;"N58.39912° E068.26363°";45;ГА;;;;
Действующий;Вертодром;"461-й км";;HBD2;ХБД2;UU-RUSSIA;Россия;"N63.20597° E065.95907°";130;ГА;;;;
Действующий;Вертодром;"5 Южное Хыльчую";;HD3Y;ХД3Ы;UU-RUSSIA;Россия;"N68.16020° E055.40338°";44;ГА;;;;
Действующий;Вертодром;"5-6 Пески";;HAO6;ХАО6;UU-RUSSIA;Россия;"N67.82582° E078.36205°";15;ГА;;;;
Действующий;Вертодром;"5-й городок";;HG9E;ХГ9Е;UU-RUSSIA;Россия;"N45.39572° E033.13193°";17;МО;;;;"Оператор: нет данных."
Действующий;Вертодром;"5-й куст";Лугинецкое;HDS0;ХДС0;UU-RUSSIA;Россия;"N58.16567° E078.93080°";105;ГА;;;;
Действующий;Вертодром;"5-я Болотная";;HEP1;ХЕП1;UU-RUSSIA;Россия;"N57.02487° E079.65258°";146;ГА;;;;
Действующий;Вертодром;"51-й км";;HAO7;ХАО7;UU-RUSSIA;Россия;"N62.47548° E063.76712°";154;ГА;;;;
Действующий;Вертодром;"52 Первомайская";;HDU4;ХДУ4;UU-RUSSIA;Россия;"N59.20673° E075.64248°";107;ГА;;;;
Действующий;Вертодром;"53 ПогО";Даурия;HB6K;ХБ6К;UU-RUSSIA;Россия;"N49.91520° E116.83898°";672;ФСБ;;;;"Читинская обл."
Действующий;Вертодром;"532-й км";;HBA8;ХБА8;UU-RUSSIA;Россия;"N62.86645° E064.95467°";8;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"539 км Убкуа";;HDQ1;ХДЯ1;UU-RUSSIA;Россия;"N57.82920° E067.21022°";54;ГА;;;;
Действующий;Вертодром;"55-й км МНП";;UUHV;УУХЖ;UU-RUSSIA;Россия;"N65.88227° E058.15630°";74;ГА;;;;
Действующий;Вертодром;"560 км КХК";;HDD4;ХДД4;UU-RUSSIA;Россия;"N60.06772° E069.46340°";41;ГА;;;;
Действующий;Вертодром;"57-й км";;H017;Х017;UU-RUSSIA;Россия;"N62.87858° E063.24903°";147;ГА;;;;"Оператор: ГазПромАвиа."
Действующий;Вертодром;"583-й км";;HB6L;ХБ6Л;UU-RUSSIA;Россия;"N61.02562° E076.92705°";42;ГА;;;;"Оператор: ?"
Недействующий;Вертодром;5Х;;HAQ3;ХАЯ3;UU-RUSSIA;Россия;"N61.07765° E069.22418°";33;ГА;;;;
Действующий;Вертодром;"6 РБ";;HE4A;ХЕ4А;UU-RUSSIA;Россия;"N55.24525° E089.68028°";531;МО;;;;Горный.
Недействующий;Вертодром;"6-й городок";;H499;Х499;UU-RUSSIA;Россия;"N56.16453° E063.67910°";143;МО;;;;"Территория военного городка ""Шадринск-4"". "
Действующий;Вертодром;"61-й км";Сентябрьский;HAE2;ХАЕ2;UU-RUSSIA;Россия;"N60.48872° E072.20627°";79;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"62-й км МНП";;UUHD;УУХД;UU-RUSSIA;Россия;"N65.86983° E058.01615°";52;ГА;;;;"Оператор: МНП, СЗ МТУ ВТ."
Недействующий;Вертодром;"63 км МКАД";;UUUX;УУУЬ;UU-RUSSIA;Россия;"N55.79048° E037.37235°";151;ГА;;;;"Новорижская развязка Московской кольцевой автомобильной дороги (МКАД). ВС до 15 тонн. ПП ликвидирована в связи с возведением новой эстакады."
Недействующий;Вертодром;"65 км";;HB6M;ХБ6М;UU-RUSSIA;Россия;"N67.81037° E076.68320°";3;ГА;;;;"Ямало-Ненецкий автономный округ, Россия."
Недействующий;Вертодром;"674-й км";;HB36;ХБ36;UU-RUSSIA;Россия;"N59.54113° E064.37355°";79;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"69 карьер";;HAB9;ХАБ9;UU-RUSSIA;Россия;"N61.71260° E066.80658°";46;ГА;;;;
Недействующий;Вертодром;"692-й км";;HA8J;ХА8Й;UU-RUSSIA;Россия;"N59.50713° E064.06965°";82;ГА;;;;
Недействующий;Вертодром;"7-я Григорьевская";;HB6O;ХБ6О;UU-RUSSIA;Россия;"N60.72500° E078.56215°";75;ГА;;;;
Действующий;Вертодром;"71-й Разъезд";;HB6P;ХБ6П;UU-RUSSIA;Россия;"N51.07815° E115.16928°";640;ГА;;;;"Горный. Оператор: нет данных. Маркирована."
Действующий;Вертодром;"719-й Пикет";;UUXJ;УУЬЙ;UU-RUSSIA;Россия;"N63.93740° E057.41547°";98;ГА;;;;"Республика Коми, Россия. СЗ МТУ ВТ."
Действующий;Вертодром;"738 км";;HB92;ХБ92;UU-RUSSIA;Россия;"N59.33665° E063.31662°";85;ГА;;;;
Действующий;Вертодром;"738-й км";;HAY7;ХАЫ7;UU-RUSSIA;Россия;"N59.43753° E063.31562°";69;ГА;;;;
Действующий;Вертодром;"74 ПогО";Кокуй;HB6Q;ХБ6Я;UU-RUSSIA;Россия;"N52.21520° E117.53057°";550;ФСБ;;;;"Горный. Владелец ПП: нет данных."
Действующий;Вертодром;"75 км";;UNSK;УНСК;UU-RUSSIA;Россия;"N59.12552° E079.23950°";54;ГА;;;;"Подконтрольна Сиб МТУ ВТ."
Действующий;Вертодром;"75-й км";;HFG5;ХФГ5;UU-RUSSIA;Россия;"N62.28168° E063.58748°";92;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"76-я Ершовая";;HDV8;ХДЖ8;UU-RUSSIA;Россия;"N61.25143° E077.73447°";57;ГА;;;;"Оператор: ?"
Действующий;Вертодром;"8 Средне-Васюганская";;HB6R;ХБ6Р;UU-RUSSIA;Россия;"N59.12485° E077.79015°";95;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"8 Южное Хыльчую";;HD3Z;ХД3З;UU-RUSSIA;Россия;"N68.15258° E055.39930°";44;ГА;;;;
Действующий;Вертодром;"8-я Герасимовская";;UNCG;УНЦГ;UU-RUSSIA;Россия;"N57.67015° E078.93805°";112;ГА;;;;"Сиб МТУ ВТ."
Действующий;Вертодром;"80-й км МНП";;UUHC;УУХЦ;UU-RUSSIA;Россия;"N65.66232° E057.87890°";45;ГА;;;;"Подконтрольна СЗ МТУ ВТ."
Недействующий;Вертодром;"802 км";;HBB0;ХББ0;UU-RUSSIA;Россия;"N63.51007° E064.23827°";55;ГА;;;;
Действующий;Вертодром;"809 км";;HGE0;ХГЕ0;UU-RUSSIA;Россия;"N51.67557° E045.48857°";255;МО;;;;"Оператор: РВСН."
Действующий;Вертодром;"86-й км";;HC10;ХЦ10;UU-RUSSIA;Россия;"N62.20357° E063.49633°";102;ГА;;;;
Действующий;Вертодром;"9-я Казанская";;HB6S;ХБ6С;UU-RUSSIA;Россия;"N57.25665° E079.35648°";128;ГА;;;;
Недействующий;Вертодром;"9-я Проточная";;HB6T;ХБ6Т;UU-RUSSIA;Россия;"N60.55830° E078.07242°";52;ГА;;;;
Недействующий;Вертодром;"92-й км";;HB6U;ХБ6У;UU-RUSSIA;Россия;"N66.08620° E075.07765°";70;ГА;;;;
Действующий;Вертодром;"93 км";;UOOE;УООЕ;UU-RUSSIA;Россия;"N69.29167° E084.62500°";11;ГА;;;;"Подконтрольна Сиб. МТУ ВТ."
Действующий;Вертодром;"94-й км";;HA8Q;ХА8Я;UU-RUSSIA;Россия;"N62.96400° E062.54510°";62;ГА;;;;"Оператор: ГазПромАвиа."
Действующий;Аэродром;AirLife;"Черный Яр";ZDR4;ЗДР4;UU-RUSSIA;Россия;"N48.04178° E045.98446°";4;АОН;;blackivv@narod.ru;airlife.myastr.ru;"Оператор: нет данных."
Действующий;Аэродром;"Jeeppesen AviaClub";Bakbakty;ZBC5;ЗБЦ5;UR-RUSS/KZKST;Казахстан;"N44.56327° E076.63938°";;АОН;;;http://www.aviaclub.kz/;
Действующий;Аэродром;Nisleg-Center;Улан-Батор;ZEB1;ЗЕБ1;UU-RUSSIA;;"N47.80836° E107.57647°";1495;АОН;;;http://www.nisleg-center.mn/;"Базируются автожиры и мотодельтопланы.
"
Действующий;Вертодром;"OAK АвиаСтар-СП";Ульяновск;HG74;ХГ74;UU-RUSSIA;Россия;"N54.37248° E048.62908°";79;ЭА;;;;"Оператор: нет данных."
Действующий;Аэродром;"Sky Friends";Улан-Батор;ZEB0;ЗЕБ0;UU-RUSSIA;;"N47.77218° E107.43985°";1465;АОН;;info@thomasair.mn;http://www.thomasair.mn/main/?lid=426&f=skyfriends;Горный.
Действующий;Аэродром;Абагур-Лесной;Новокузнецк;ZE1R;ЗЕ1Р;UU-RUSSIA;Россия;"N53.73910° E087.20565°";195;ДОСААФ;;;;"Оператор: местный аэроклуб ДОСААФ России."
Недействующий;Аэродром;Абаза;;ZE0K;ЗЕ0К;UU-RUSSIA;Россия;"N52.64333° E090.08713°";452;ГА;;;;Горный.
Действующий;Аэродром;Абакан;;UNAA;УНАА;UU-RUSSIA;Россия;"N53.74108° E091.38605°";253;ГА;Международный;info@abakan.aero;www.abakan.aero;"Оператор: ОАО ""Аэропорт Абакан"". PCN: 98/F/В/W/T. Военный индекс: XNAA / ЬНАА."
Действующий;Вертодром;Абаканвагонмаш;;HF97;ХФ97;UU-RUSSIA;Россия;"N53.71272° E091.34500°";258;ГА;;;;"Оператор: нет данных."
Недействующий;Аэродром;Абан;;UNQA;УНЯА;UU-RUSSIA;Россия;"N56.68485° E096.11967°";256;ГА;;;;"Бывший аэропорт МВЛ-2."
Недействующий;Вертодром;Абашина;;H002;Х002;UM-RUSS/BELRS;Беларусь;"N55.59168° E029.26307°";151;МО;;;;"Назначение: для обеспечения наземного полигона."
Действующий;Вертодром;"Абашина площадка №74";;XMQA;ЬМЯА;UM-RUSS/BELRS;Беларусь;"N55.59031° E029.26341°";138;МО;;;;"Действительный нетранслитерируемый индекс: ""ЬМЩА/XMQA""."
Недействующий;Аэродром;Абая-Кучук;Славное;ZB5G;ЗБ5Г;UU-RUSSIA;Россия;"N45.73168° E033.21135°";4;ГА;;;;"Бывшая площадка АХР."
Недействующий;Аэродром;Абдулино;;ZA02;ЗА02;UU-RUSSIA;Россия;"N53.68993° E053.62582°";193;ГА;;;;"Не существует, отсутствуют признаки работы."
Недействующий;Аэродром;Абезь;;ZC6D;ЗЦ6Д;UU-RUSSIA;Россия;"N66.53908° E061.72473°";76;ГА;;;;
Недействующий;Аэродром;Абинск;;ZE4Q;ЗЕ4Я;UU-RUSSIA;Россия;"N44.90492° E038.17665°";23;ГА;;;;"Площадка АХР."
Действующий;Вертодром;Аборино;;HA9G;ХА9Г;UU-RUSSIA;Россия;"N55.85597° E038.27148°";140;ГА;;;;"Оператор: ФЛ ООО ""МосТрансГаз"" ""Ногинское УМГ""
(Ногинское Управление магистральных газопроводов - Филиал ООО ""Газпром Трансгаз Москва"")"
Действующий;Вертодром;Абрамова;;HCF8;ХЦФ8;UU-RUSSIA;Россия;"N58.41840° E068.45252°";50;ГА;;;;"Тюменская область, Россия."
Действующий;Вертодром;Абрау-Дюрсо;;HE79;ХЕ79;UU-RUSSIA;Россия;"N44.70020° E037.60265°";117;АОН;;;www.u-ozera.ru;"Горный. Оператор: Центр виннного туризма. Место постоянного базирования вертолётов Robinson44. Имеется матерчатый ветроуказатель, МС открытого типа, домик отдыха экипажей."
Действующий;Аэродром;Абый;;UESY;УЕСЫ;UU-RUSSIA;Россия;"N68.40090° E145.09437°";38;ГА;;;;"Оператор: нет данных."
Недействующий;Вертодром;Абыналах;;HD9V;ХД9Ж;UU-RUSSIA;Россия;"N69.33590° E118.47952°";65;ГА;;;;
Действующий;Вертодром;Авачинский;;UHQA;УХЯА;UU-RUSSIA;Россия;"N53.16118° E158.38373°";12;ГА;;;;"PCN 8/F/C/Z/T."
Действующий;Вертодром;"Августовка НПС";;HDH0;ХДХ0;UK-UKRAINE;Украина;"N46.61765° E030.65628°";28;АОН;;;;"Оператор: нефте- перекачивающая станция ""Августовка""."
Недействующий;Аэродром;Авда;;UNQF;УНЯФ;UU-RUSSIA;Россия;"N55.75157° E094.62862°";358;ГА;;;;
Недействующий;Аэродром;Авдеевка;;ZBQ7;ЗБЯ7;UK-UKRAINE;Украина;"N51.76233° E032.76990°";174;ГА;;;;"Бывшая площадка АХР. Состояние ВПП не известно."
Недействующий;Аэродром;Авдеевка;;ZD2X;ЗД2Ь;UU-RUSSIA;Россия;"N45.16867° E133.33145°";90;ГА;;;;
Действующий;Вертодром;Авиа-100;Минск;HG8L;ХГ8Л;UM-RUSS/BELRS;Беларусь;"N53.96525° E027.64837°";234;ГА;;avia100@tut.by;;"Оператор: Вертолетный клуб ""Авиа-100""."
Действующий;Аэродром;"Авиабаза Полтава";;UKHL;УКХЛ;UK-UKRAINE;Украина;"N49.62722° E034.48828°";155;МО;;;;"Бывший военный аэродром МО СССР (база ДА). Ныне используется ВСУ как запасной для истребителей, базирующихся на а/д Миргород. Военный индекс: XKHP / ЬКХП."
Действующий;Вертодром;Авиазапчасть;Ермолино;HH93;ХХ93;UU-RUSSIA;Россия;"N55.21159° E036.61989°";176;АОН;;aviasp@aviazapchast.com;http://aviazapchast.ru/;"Владелец ПП: АО «Авиазапчасть». Принимает ВС массой до 13 тонн по ПВП в светлое время суток. АНППП в стадии разработки и регистрации."
Действующий;Вертодром;Авиалифт;;UHWX;УХВЬ;UU-RUSSIA;Россия;"N43.38115° E132.16962°";28;ГА;;;;"Оператор: ЗАО ""Авиалифт Владивосток""."
Действующий;Вертодром;Авиаотделение;Тында;HDQ2;ХДЯ2;UU-RUSSIA;Россия;"N55.18915° E124.70615°";562;ГА;;;;Горный.
Недействующий;Аэродром;"Авиаполигон Ноготай";;ZF5C;ЗФ5Ц;UU-RUSSIA;Россия;"N53.58398° E105.75211°";;МО;;;;
Недействующий;Аэродром;"Авиаполигон Ружаны";;ZF4P;ЗФ4П;UM-RUSS/BELRS;Беларусь;"N52.73385° E024.87558°";182;МО;;;;"Оператор: Авиационный полигон №210 ""Ружаны""."
Действующий;Вертодром;Авиаранчо;;XMMZ;ЬММЗ;UM-RUSS/BELRS;Беларусь;"N53.95190° E027.33758°";213;АОН;;;;"Экскурсионные полеты на автожире и Икарусе.
"
Недействующий;Вертодром;Авиатор;;HG5D;ХГ5Д;UU-RUSSIA;Россия;"N55.95345° E037.40843°";187;АОН;;;;"Оператор: отель ""Авиатор""."
Действующий;Вертодром;Автодром;Казань;UWTX;УВТЬ;UU-RUSSIA;Россия;"N55.87147° E049.26385°";124;АОН;;igorbor60@mail.ru;;"Оператор: нет данных."
Действующий;Вертодром;"Автопарк 25";;HF85;ХФ85;UU-RUSSIA;Россия;"N55.76129° E037.72185°";149;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"Автополигон НАМИ";;HA3D;ХА3Д;UU-RUSSIA;Россия;"N56.33748° E037.29708°";237;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"Агаларов Эстэйт";;HH7Q;ХХ7Я;UU-RUSSIA;Россия;"N55.80007° E037.01331°";160;АОН;;;;"Оператор: нет данных."
